Req_T [MeV],Deliv_P [MeV/c],Delta_P [MeV/c],P_Theta [mrad],P_Phi [mrad],Beam_Vx [cm],Beam_Vy [cm],RMS_Hor_Size [cm],RMS_Vert_Size [cm]
4.00,4.482,,,,,,,
4.75,5.299,1.76E-03,-6.40E-01,-1.06E+00,0.226,-0.115,0.1698,0.0574
4.85,5.406,1.72E-03,-1.90E+00,-3.42E+00,0.099,-0.524,0.0867,0.1224
4.95,5.517,1.27E-03,-1.63E+00,-3.80E-01,-0.026,0.066,0.1510,0.2793
5.05,5.605,1.17E-03,-3.67E+00,-1.17E+00,-0.078,-0.117,0.0409,0.1261
5.15,5.703,1.28E-03,-3.73E+00,2.00E-01,0.045,0.023,0.1023,0.1180
5.25,5.840,1.50E-03,-2.60E+00,-9.60E-01,0.032,-0.091,0.0510,0.0525
5.35,5.887,1.88E-03,-3.58E+00,4.02E+00,0.095,0.086,0.1623,0.0478
